id,source_image_id,image_path,scale_nm_per_px,axon_mask_path,outer_fiber_mask_path,vacuole_mask_path,split,label_note
extra_p1202_neoview12_01,extra_p1202_neoview12,few_tests/p120-2/NeoView_12/NeoView_12.tif,9.0987,few_tests/p120-2/NeoView_12/NeoView_12_axon.PNG,few_tests/p120-2/NeoView_12/NeoView_12_outer_fiber.PNG,EMPTY,dev,user-confirmed compact
extra_p1202_neoview12_02,extra_p1202_neoview12,few_tests/p120-2/NeoView_12_2/NeoView_12_2.tif,9.0987,few_tests/p120-2/NeoView_12_2/NeoView_12_2_axon.PNG,few_tests/p120-2/NeoView_12_2/NeoView_12_2_outer_fiber.PNG,few_tests/p120-2/NeoView_12/crops/NeoView_12_2/NeoView_12_2_vacoule.PNG,dev,student vacuole annotation
extra_p1202_neoview12_03,extra_p1202_neoview12,few_tests/p120-2/NeoView_12_3/NeoView_12_3.tif,9.0987,few_tests/p120-2/NeoView_12_3/NeoView_12_3_axon.PNG,few_tests/p120-2/NeoView_12_3/NeoView_12_3_outer_fiber.PNG,few_tests/p120-2/NeoView_12_3/NeoView_12_3_vacoule.PNG,dev,student vacuole annotation
extra_p1202_neoview12_04,extra_p1202_neoview12,few_tests/p120-2/NeoView_12_4/NeoView_12_4.tif,9.0987,few_tests/p120-2/NeoView_12_4/NeoView_12_4_axon.PNG,few_tests/p120-2/NeoView_12_4/NeoView_12_4_outer_fiber.PNG,few_tests/p120-2/NeoView_12_4/NeoView_12_4_vacoule.PNG,dev,student compact annotation
extra_p1202_neoview12_05,extra_p1202_neoview12,few_tests/p120-2/NeoView_12_5/NeoView_12_5.tif,9.0987,few_tests/p120-2/NeoView_12_5/NeoView_12_5_axon.PNG,few_tests/p120-2/NeoView_12_5/NeoView_12_5_outer_fiber.PNG,few_tests/p120-2/NeoView_12_5/NeoView_12_5_vacoule.PNG,dev,student vacuole annotation
extra_p1265_neoview1_01,extra_p1265_neoview1,few_tests/p126-5/NeoView_1/crops/NeoView_1/NeoView_1.tif,5.523,few_tests/p126-5/NeoView_1/crops/NeoView_1/NeoView_1_axon.PNG,few_tests/p126-5/NeoView_1/crops/NeoView_1/NeoView_1_outer_fiber.PNG,few_tests/p126-5/NeoView_1/crops/NeoView_1/NeoView_1_vacoule.PNG,dev,student vacuole annotation
extra_p1265_neoview1_02,extra_p1265_neoview1,few_tests/p126-5/NeoView_1/crops/NeoView_1_2/NeoView_1_2.tif,5.523,few_tests/p126-5/NeoView_1/crops/NeoView_1_2/NeoView_1_2_axon.PNG,few_tests/p126-5/NeoView_1/crops/NeoView_1_2/NeoView_1_2_outer_fiber.PNG,few_tests/p126-5/NeoView_1/crops/NeoView_1_2/NeoView_1_2_vacoule.PNG,dev,student compact annotation
extra_p1265_neoview1_03,extra_p1265_neoview1,few_tests/p126-5/NeoView_1/crops/NeoView_1_3/NeoView_1_3.tif,5.523,few_tests/p126-5/NeoView_1/crops/NeoView_1_3/NeoView_1_3_axon.PNG,few_tests/p126-5/NeoView_1/crops/NeoView_1_3/NeoView_1_3_outer_fiber.PNG,few_tests/p126-5/NeoView_1/crops/NeoView_1_3/NeoView_1_3_vacoule.PNG,dev,student compact annotation
extra_p1292_neoview17_01,extra_p1292_neoview17,few_tests/p129-2/NeoView_17/crops/NeoView_17/NeoView_17.tif,1.0908,few_tests/p129-2/NeoView_17/crops/NeoView_17/NeoView_17_axon.PNG,few_tests/p129-2/NeoView_17/crops/NeoView_17/NeoView_17_outer_fiber.PNG,few_tests/p129-2/NeoView_17/crops/NeoView_17/NeoView_17_vacoule.PNG,dev,student vacuole annotation
extra_p1292_neoview17_02,extra_p1292_neoview17,few_tests/p129-2/NeoView_17/crops/NeoView_17_2/NeoView_17_2.tif,1.0908,few_tests/p129-2/NeoView_17/crops/NeoView_17_2/NeoView_17_2_axon.PNG,few_tests/p129-2/NeoView_17/crops/NeoView_17_2/NeoView_17_2_outer_fiber.PNG,few_tests/p129-2/NeoView_17/crops/NeoView_17_2/NeoView_17_2_vacoule.PNG,dev,student vacuole annotation
extra_p1293_neoview44_01,extra_p1293_neoview44,few_tests/p129-3/NeoView_44/crops/NeoView_44/NeoView_44.tif,1.0908,few_tests/p129-3/NeoView_44/crops/NeoView_44/NeoView_44_axon.PNG,few_tests/p129-3/NeoView_44/crops/NeoView_44/NeoView_44_outer_fiber.PNG,few_tests/p129-3/NeoView_44/crops/NeoView_44/NeoView_44_vacoule.PNG,dev,student compact annotation; non-lamellar region left unmarked
extra_p1293_neoview44_02,extra_p1293_neoview44,few_tests/p129-3/NeoView_44/crops/NeoView_44_2/NeoView_44_2.tif,1.0908,few_tests/p129-3/NeoView_44/crops/NeoView_44_2/NeoView_44_2_axon.PNG,few_tests/p129-3/NeoView_44/crops/NeoView_44_2/NeoView_44_2_outer_fiber.PNG,few_tests/p129-3/NeoView_44/crops/NeoView_44_2/NeoView_44_2_vacoule.PNG,dev,student vacuole annotation
extra_p1265_neoview56_01,extra_p1265_neoview56,few_tests/p126-5/NeoView_56/crops/NeoView_56.tif,1.0908,few_tests/p126-5/NeoView_56/crops/NeoView_56_axon.PNG,few_tests/p126-5/NeoView_56/crops/NeoView_56_outer_fiber.PNG,few_tests/p126-5/NeoView_56/crops/NeoView_56_vacoule.PNG,test,student compact annotation
extra_p1265_neoview57_01,extra_p1265_neoview57,few_tests/p126-5/NeoView_57/crops/NeoView_57.tif,1.0908,few_tests/p126-5/NeoView_57/crops/NeoView_57_axon.PNG,few_tests/p126-5/NeoView_57/crops/NeoView_57_outer_fiber.PNG,few_tests/p126-5/NeoView_57/crops/NeoView_57_vacoule.PNG,test,student vacuole annotation
extra_p1292_neoview24_01,extra_p1292_neoview24,few_tests/p129-2/NeoView_24/crops/NeoView_24.tif,1.0908,few_tests/p129-2/NeoView_24/crops/NeoView_24_axon.PNG,few_tests/p129-2/NeoView_24/crops/NeoView_24_outer_fiber.PNG,few_tests/p129-2/NeoView_24/crops/NeoView_24_vacoule.PNG,test,student vacuole annotation
extra_p1292_neoview28_01,extra_p1292_neoview28,few_tests/p129-2/NeoView_28/crops/NeoView_28/NeoView_28.tif,1.0908,few_tests/p129-2/NeoView_28/crops/NeoView_28/NeoView_28_axon.PNG,few_tests/p129-2/NeoView_28/crops/NeoView_28/NeoView_28_outer_fiber.PNG,few_tests/p129-2/NeoView_28/crops/NeoView_28/NeoView_28_vacoule.PNG,test,student vacuole annotation
extra_p1292_neoview28_02,extra_p1292_neoview28,few_tests/p129-2/NeoView_28/crops/NeoView_28_2/NeoView_28_2.tif,1.0908,few_tests/p129-2/NeoView_28/crops/NeoView_28_2/NeoView_28_2_axon.PNG,few_tests/p129-2/NeoView_28/crops/NeoView_28_2/NeoView_28_2_outer_fiber.PNG,few_tests/p129-2/NeoView_28/crops/NeoView_28_2/NeoView_28_2_vacoule.PNG,test,student vacuole annotation
extra_p1292_neoview30_01,extra_p1292_neoview30,few_tests/p129-2/NeoView_30/crops/NeoView_30.tif,1.0908,few_tests/p129-2/NeoView_30/crops/NeoView_30_axon.PNG,few_tests/p129-2/NeoView_30/crops/NeoView_30_outer_fiber.PNG,few_tests/p129-2/NeoView_30/crops/NeoView_30_vacoule.PNG,test,student vacuole annotation
extra_p1293_neoview46_01,extra_p1293_neoview46,few_tests/p129-3/NeoView_46/crops/NeoView_46.tif,1.0908,few_tests/p129-3/NeoView_46/crops/NeoView_46_axon.PNG,few_tests/p129-3/NeoView_46/crops/NeoView_46_outer_fiber.PNG,few_tests/p129-3/NeoView_46/crops/NeoView_46_vacoule.PNG,test,student compact annotation
