source_image_id,image_path,scale_nm_per_px,split,max_crops
damaged_12,..\מיילין פגוע\NeoView_12\NeoView_12.tif,5.523,dev,4
p120_neo1,..\דאטה מהמעבדה\p120-2\NeoView_1.tif,5.523,dev,4
p126_neo1,..\דאטה מהמעבדה\p126-5\NeoView_1.tif,5.523,dev,4
p1292_neo1,..\דאטה מהמעבדה\p129-2\NeoView_1.tif,5.523,dev,4
p120_neo2,..\דאטה מהמעבדה\p120-2\NeoView_2.tif,5.523,test,4
p120_neo3,..\דאטה מהמעבדה\p120-2\NeoView_3.tif,5.523,test,4
p126_neo3,..\דאטה מהמעבדה\p126-5\NeoView_3.tif,5.523,test,4
p1292_neo2,..\דאטה מהמעבדה\p129-2\NeoView_2.tif,5.523,test,4
p1292_neo3,..\דאטה מהמעבדה\p129-2\NeoView_3.tif,5.523,test,4
p1292_neo5,..\דאטה מהמעבדה\p129-2\NeoView_5.tif,5.523,test,4
p1292_neo6,..\דאטה מהמעבדה\p129-2\NeoView_6.tif,5.523,test,4
p1292_neo7,..\דאטה מהמעבדה\p129-2\NeoView_7.tif,5.523,test,4
p1292_neo8,..\דאטה מהמעבדה\p129-2\NeoView_8.tif,5.523,test,4
p1292_neo9,..\דאטה מהמעבדה\p129-2\NeoView_9.tif,5.523,test,4
p1292_neo10,..\דאטה מהמעבדה\p129-2\NeoView_10.tif,5.523,test,4
p1292_neo11,..\דאטה מהמעבדה\p129-2\NeoView_11.tif,5.523,test,4
p1292_neo12,..\דאטה מהמעבדה\p129-2\NeoView_12.tif,5.523,test,4
p1293_neo2,..\דאטה מהמעבדה\p129-3\NeoView_2.tif,5.523,test,4
p1293_neo5,..\דאטה מהמעבדה\p129-3\NeoView_5.tif,5.523,test,4
p1293_neo7,..\דאטה מהמעבדה\p129-3\NeoView_7.tif,5.523,test,4
p1293_neo25,..\דאטה מהמעבדה\p129-3\NeoView_25.tif,5.523,test,4
p1293_neo27,..\דאטה מהמעבדה\p129-3\NeoView_27.tif,5.523,test,4
p1293_neo28,..\דאטה מהמעבדה\p129-3\NeoView_28.tif,5.523,test,4
p1293_neo29,..\דאטה מהמעבדה\p129-3\NeoView_29.tif,5.523,test,4
p1293_neo30,..\דאטה מהמעבדה\p129-3\NeoView_30.tif,5.523,test,4
p1293_neo31,..\דאטה מהמעבדה\p129-3\NeoView_31.tif,5.523,test,4
p1293_neo33,..\דאטה מהמעבדה\p129-3\NeoView_33.tif,5.523,test,4
p1293_neo34,..\דאטה מהמעבדה\p129-3\NeoView_34.tif,5.523,test,4
p126_neo13,..\דאטה מהמעבדה\p126-5\NeoView_13.tif,5.523,test,4
p126_neo15,..\דאטה מהמעבדה\p126-5\NeoView_15.tif,5.523,test,4
p126_neo16,..\דאטה מהמעבדה\p126-5\NeoView_16.tif,5.523,test,4
p126_neo18,..\דאטה מהמעבדה\p126-5\NeoView_18.tif,5.523,test,4
p126_neo19,..\דאטה מהמעבדה\p126-5\NeoView_19.tif,5.523,test,4
p126_neo23,..\דאטה מהמעבדה\p126-5\NeoView_23.tif,5.523,test,4
p126_neo24,..\דאטה מהמעבדה\p126-5\NeoView_24.tif,5.523,test,4
